,date_time,street_name
445,2017-01-17 16:38:00,3200 MOORE STREET
446,2017-01-17 17:40:00,0 25TH STREET
447,2017-01-17 17:40:00,10 25TH STREET
448,2017-01-17 19:10:00,6800 BALBOA AVENUE
449,2017-01-17 19:20:00,4200 GENESEE AVENUE
450,2017-01-17 19:30:00,400 MARKET STREET
451,2017-01-17 19:47:00,2900 OCEAN VIEW BOULEVARD
452,2017-01-17 21:25:00,9700 BLACK MTN ROAD
453,2017-01-17 23:00:00,0 06TH AVENUE
454,2017-01-17 23:35:00,1400 KETTNER BOULEVARD
455,2017-01-18 03:32:00,3000 GARNET AVENUE
456,2017-01-18 07:00:00,1100 SAMPSON STREET
457,2017-01-18 07:04:00,400 RITCHEY STREET
458,2017-01-18 07:11:00,5100 GENESEE AVENUE
459,2017-01-18 07:21:00,6700 NAVAJO ROAD
460,2017-01-18 07:34:00,9800 CAM RUIZ  
461,2017-01-18 07:35:00,6400 CHANDLER DRIVE
462,2017-01-18 07:39:00,4400 HILLTOP DRIVE
463,2017-01-18 08:06:00,600 CAMERON COURT
464,2017-01-18 08:08:00,600 30TH STREET
465,2017-01-18 09:40:00,6000 FEDERAL BOULEVARD
466,2017-01-18 10:31:00,11900 BLACK MTN ROAD
467,2017-01-18 11:09:00,5600 SOLEDAD MTN ROAD
468,2017-01-18 11:16:00,16800 BERNARDO CENTER DRIVE
469,2017-01-18 11:26:00,7000 MOHAWK STREET
470,2017-01-18 12:03:00,7300 CLAIREMONT MESA BOULEVARD
471,2017-01-18 12:30:00,4100 COLLEGE AVENUE
472,2017-01-18 12:42:00,6900 PARADISE VALLEY ROAD
473,2017-01-18 13:15:00,2900 JUNIPER STREET
474,2017-01-18 15:15:00,4600 VANDEVER AVENUE
