,street_name,average_total_count,collisions,lat,lng
494,JACKSON ST,1030.0,1,32.75655,-117.194931
495,JADE COAST DR,962.5,2,32.902187,-117.140266
497,JAMACHA RD,1186.5,25,32.71771,-117.02605
498,JEFFERSON ST,911.5,4,33.18194,-117.339886
499,JEWELL ST,220.8636363636364,16,32.80835,-117.240997
501,JOHN J MONTGOMERY DR,971.6666666666665,2,32.812382,-117.141083
502,JUAN ST,213.1818181818182,15,32.753906,-117.193932
503,JUNIPER ST,705.0,15,32.729706,-117.10936
504,JUTLAND DR,962.4,12,32.826733,-117.222252
505,K ST,954.3333333333335,26,32.708326,-117.160461
508,KEARNY MESA RD,734.0,38,32.819509,-117.149102
511,KEARNY VILLA RD,403.9384615384615,76,32.856764,-117.118385
512,KELTON RD,1082.5,9,32.72343,-117.075941
513,KEMPER ST,558.1666666666666,9,32.7515,-117.215556
514,KENAMAR DR,997.5,4,32.886652,-117.155461
515,KENWOOD ST,915.0,3,32.711254,-117.069946
517,KIOWA DR,5010.0,4,32.780697,-117.03999
519,KLAUBER AV,1243.0,1,32.724026,-117.053131
520,KNOXVILLE ST,1884.5,7,32.774902,-117.202492
521,KRENNING ST,721.4,3,32.736286,-117.078362
522,KURTZ ST,782.4285714285713,15,32.743843,-117.189178
524,LA CUENTA DR,543.3,6,32.82058,-117.099281
526,LA JOLLA COLONY DR,1475.2,6,32.849495,-117.235069
527,LA JOLLA HERMOSA AV,234.33333333333331,4,32.818886,-117.272034
528,LA JOLLA MESA DR,620.0714285714286,9,32.818813,-117.259148
532,LA JOLLA SHORES DR,1516.0,24,32.869965,-117.249786
533,LA JOLLA VILLAGE DR,1177.1190476190475,117,32.871776,-117.233775
535,LA MEDIA RD,259.0,7,32.632336,-116.988226
536,LA PLAYA AV,803.5,4,32.788845,-117.237053
537,LAKE ARROWHEAD DR,1376.333333333333,2,32.795841,-117.009819
539,LAKE SHORE DR,6190.0,2,32.79607,-117.03598
540,LAMONT ST,235.08695652173915,29,32.807049,-117.237198
542,LANDIS ST,372.1428571428572,18,32.746418,-117.119507
546,LAUREL ST,565.5625,39,32.731389,-117.160045
547,LAZANJA DR,1605.5,1,32.986565,-117.162795
548,LEA ST,398.16666666666674,6,32.745869,-117.079781
549,LEBON DR,1565.0,10,32.869931,-117.224499
550,LELAND ST,983.5,2,32.74995,-117.220612
551,LEON AV,1987.666666666667,5,32.566411,-117.091318
552,LEWIS ST,289.3333333333333,4,32.751873,-117.162781
553,LEWISON DR,280.5,1,32.80043,-117.07859
555,LIGHTWAVE AV,1998.5,4,32.82906,-117.135277
556,LIMERICK AV,167.22222222222226,9,32.834478,-117.178741
558,LINCOLN AV,277.6551724137931,34,32.750288,-117.1456
560,LINDA VISTA RD,680.3030303030303,164,32.765815,-117.196543
561,LIPMANN ST,751.25,1,32.857233,-117.198031
562,LISBON ST,3144.0,14,32.71204,-117.046913
565,LOGAN AV,150.47826086956522,93,32.696842,-117.099701
567,LOMICA DR,255.44444444444446,3,33.009117,-117.061768
569,LONG RUN DR,1753.0,1,32.954197,-117.238083
570,LONGFORD ST,450.0,1,32.832558,-117.18277
572,LORING ST,161.73684210526315,13,32.807365,-117.247108
574,LOWELL ST,1219.75,1,32.731918,-117.230766
575,LUNA AV,186.77777777777774,11,32.831245,-117.216232
577,LYTTON ST,1512.857142857143,14,32.744256,-117.212415
578,MACAULAY ST,1130.3333333333333,2,32.732405,-117.23054
579,MADERA ST,614.6,3,32.720673,-117.048607
580,MADISON AV,306.29411764705884,27,32.760931,-117.154357
581,MADRA AV,518.3333333333334,7,32.786163,-117.056679
582,MAGNOLIA AV,529.6,2,32.80423,-117.220123
583,MAHAILA AV,248.2,2,32.869614,-117.219727
585,MAIN ST,800.625,71,32.695595,-117.141647
586,MALLARD ST,1462.0,3,32.729572,-117.056328
587,MANGO DR,125.375,6,32.946922,-117.247437
590,MARGERUM AV,536.8,6,32.803242,-117.066177
591,MARKET ST,29.590163934426233,223,32.7115,-117.159229
592,MARLBOROUGH AV,226.15789473684208,33,32.755954,-117.106109
593,MARLBOROUGH DR,235.66666666666663,14,32.766716,-117.106262
594,MARLESTA DR,1457.7142857142858,2,32.805978,-117.173176
595,MARYLAND ST,870.6,2,32.757195,-117.15126
597,MATINAL DR,3286.0,1,33.031479,-117.082932
598,MATINAL RD,330.125,1,33.031578,-117.085052
599,MATURIN DR,692.1666666666665,1,33.002636,-117.087273
600,MAYA LINDA RD,1442.5,8,32.901436,-117.120583
603,MEADE AV,103.31578947368419,41,32.757275,-117.132652
604,MEADOW LARK DR,1406.333333333333,5,32.787903,-117.15461
606,MEADOWBROOK DR,308.88235294117646,39,32.708157,-117.034538
607,MERCURY ST,299.3181818181818,14,32.822204,-117.148852
608,MERCY RD,2051.444444444445,12,32.937912,-117.126383
609,MERLIN DR,1435.75,6,32.709388,-117.071082
610,MERRIMAC AV,1499.333333333333,2,32.834801,-117.203934
611,MESA COLLEGE DR,961.9090909090908,58,32.800879,-117.158091
612,METROPOLITAN DR,1916.0,2,32.77689,-117.158577
614,MIDWAY DR,718.3548387096774,98,32.750381,-117.208751
615,MIDWAY ST,366.66666666666674,3,32.812057,-117.26918
616,MILCH RD,1324.6666666666667,2,32.877891,-117.168278
617,MILTON ST,497.1,5,32.784496,-117.203809
619,MIRA SORRENTO PL,3268.333333333333,2,32.892238,-117.206694
620,MIRALANI DR,3869.0,1,32.896103,-117.140198
621,MIRAMAR PL,1071.25,2,32.881489,-117.179176
622,MIRAMAR RD,771.640625,208,32.877096,-117.182733
624,MISSION AV,534.3333333333334,3,33.194511,-117.381766
625,MISSION BAY DR,1145.2333333333333,87,32.801708,-117.215073
627,MISSION CENTER RD,600.3846153846154,62,32.774118,-117.153883
629,MISSION GORGE PL,737.4,5,32.78295,-117.094608
630,MISSION GORGE RD,650.1739130434783,95,32.796038,-117.094886
631,MISSION VILLAGE DR,1512.5,22,32.786514,-117.120171
633,MISSISSIPPI ST,695.5,6,32.745605,-117.141144
635,MOBLEY ST,345.8,5,32.796131,-117.135353
637,MONROE AV,75.63636363636364,45,32.759136,-117.133905
639,MONTEZUMA RD,418.171875,116,32.770813,-117.077558
640,MONTONGO ST,652.0,4,32.921856,-117.153976
641,MONUMENT RD,48.444444444444436,3,32.545258,-117.077881
642,MOORE ST,716.1,11,32.747663,-117.192453
643,MORAGA AV,689.875,9,32.811321,-117.21125
644,MOREHOUSE DR,3409.333333333333,1,32.894821,-117.19796
648,MORLEY FIELD DR,987.2,6,32.73988,-117.144722
651,MORRELL ST,121.5,8,32.796627,-117.23204
652,MT ABERNATHY AV,99.72222222222223,9,32.821616,-117.175848
654,MT AGUILAR DR,607.7777777777778,3,32.81709,-117.174555
655,MT ALIFAN DR,269.3529411764706,20,32.817972,-117.177808
656,MT ARARAT DR,553.5,3,32.810299,-117.186272
657,MT ETNA DR,340.4444444444445,5,32.821316,-117.187752
659,MT HERBERT AV,503.0,1,32.825268,-117.191963
661,MUIRLANDS DR,597.0,3,32.827713,-117.264038
666,MURRAY PARK DR,282.0,1,32.792332,-117.048019
667,MURRAY RIDGE RD,812.1538461538463,20,32.796352,-117.14344
674,NANCY RIDGE DR,1015.6666666666665,2,32.887894,-117.184067
675,NAPA ST,1652.2222222222224,16,32.763875,-117.195437
676,NARANJA ST,3047.0,5,32.708588,-117.080711
677,NARRAGANSETT AV,324.46153846153845,9,32.733534,-117.232645
679,NATIONAL AV,62.14035087719297,96,32.69602,-117.114338
681,NAUTILUS ST,813.9411764705882,15,32.832851,-117.259888
682,NAVAJO RD,435.79411764705884,46,32.804438,-117.04216
683,NEW SALEM ST,253.07142857142856,17,32.915674,-117.144594
684,NEWPORT AV,623.2,41,32.743681,-117.245865
685,NIAGARA AV,259.25,11,32.741746,-117.24486
686,NILE ST,1136.75,4,32.735178,-117.116521
688,NOBEL DR,627.8846153846154,51,32.868199,-117.230182
689,NOELL ST,358.28571428571433,3,32.743492,-117.186546
690,NORMAL ST,2036.857142857143,14,32.752981,-117.147698
694,NORTHSIDE DR,1722.6363636363635,11,32.782933,-117.131122
696,OBERLIN DR,3240.0,1,32.892037,-117.196327
700,OHIO ST,1649.2,26,32.76122,-117.12895
704,OLD MEMORY LN,250.5,1,32.718914,-117.07093
